Номер;Дата;t6;T7;t8;t9
471;20.04.17 1:58:26;12,4;19,2;19,8;21,6
472;20.04.17 1:58:27;12,5;19,3;19,8;21,6
473;20.04.17 1:58:28;12,5;19,3;19,8;21,6
474;20.04.17 1:58:29;12,5;19,3;19,8;21,5
475;20.04.17 1:58:30;12,5;19,3;19,8;21,5
476;20.04.17 1:58:31;12,5;19,3;19,8;21,5
477;20.04.17 1:58:32;12,5;19,3;19,8;21,5
478;20.04.17 1:58:33;12,4;19,3;19,8;21,5
479;20.04.17 1:58:34;12,4;19,3;19,8;21,5
480;20.04.17 1:58:35;12,4;19,3;19,8;21,5
481;20.04.17 1:58:36;12,4;19,3;19,8;21,5
482;20.04.17 1:58:37;12,4;19,2;19,8;21,5
483;20.04.17 1:58:38;12,4;19,2;19,8;21,5
484;20.04.17 1:58:39;12,5;19,2;19,8;21,5
485;20.04.17 1:58:40;12,5;19,3;19,8;21,5
486;20.04.17 1:58:41;12,5;19,3;19,8;21,5
487;20.04.17 1:58:42;12,4;19,2;19,8;21,5
488;20.04.17 1:58:43;12,4;19,2;19,8;21,5
489;20.04.17 1:58:44;12,4;19,2;19,8;21,5
490;20.04.17 1:58:45;12,5;19,2;19,8;21,6
491;20.04.17 1:58:46;12,5;19,2;19,8;21,6
492;20.04.17 1:58:47;12,5;19,2;19,8;21,6
493;20.04.17 1:58:48;12,5;19,2;19,9;21,5
494;20.04.17 1:58:49;12,5;19,2;19,9;21,5
495;20.04.17 1:58:50;12,5;19,2;19,9;21,5
496;20.04.17 1:58:51;12,5;19,2;19,8;21,5
497;20.04.17 1:58:52;12,5;19,2;19,8;21,5
498;20.04.17 1:58:53;12,5;19,2;19,8;21,5
499;20.04.17 1:58:54;12,4;19,2;19,8;21,5
500;20.04.17 1:58:55;12,4;19,2;19,8;21,5
